timestamp,accX,accY,accZ
0,-9.1005712,-2.1966896,-3.6088471999999996
10,-9.1005712,-2.1966896,-3.6480737999999997
20,-9.1005712,-2.2359162,-3.6088471999999996
30,-9.1790244,-2.157463,-3.5696205999999995
40,-9.1397978,-2.2359162,-3.6480737999999997
50,-9.1790244,-2.1966896,-3.6873004
60,-9.1005712,-2.157463,-3.6873004
70,-9.1790244,-2.1966896,-3.6873004
80,-9.1005712,-2.1966896,-3.6480737999999997
90,-9.1790244,-2.1966896,-3.6480737999999997
100,-9.1397978,-2.2359162,-3.5696205999999995
110,-9.1397978,-2.2359162,-3.6873004
120,-9.1397978,-2.2751428,-3.6480737999999997
130,-9.1397978,-2.1966896,-3.6480737999999997
140,-9.1397978,-2.2359162,-3.6480737999999997
150,-9.1397978,-2.2359162,-3.6480737999999997
160,-9.1790244,-2.1966896,-3.6873004
170,-9.1397978,-2.2359162,-3.6480737999999997
180,-9.1397978,-2.1966896,-3.6480737999999997
190,-9.1397978,-2.1966896,-3.726527
200,-9.1397978,-2.3143694,-3.6480737999999997
210,-9.1397978,-2.2359162,-3.6873004
220,-9.1790244,-2.1966896,-3.6480737999999997
230,-9.1397978,-2.2359162,-3.6088471999999996
240,-9.1397978,-2.2359162,-3.6480737999999997
250,-9.1005712,-2.2359162,-3.6088471999999996
260,-9.1397978,-2.3143694,-3.6873004
270,-9.1005712,-2.2751428,-3.6088471999999996
280,-9.1397978,-2.2359162,-3.6480737999999997
290,-9.1397978,-2.1966896,-3.6480737999999997
300,-9.1790244,-2.1182364,-3.6873004
310,-9.1005712,-2.2751428,-3.6480737999999997
320,-9.1005712,-2.2751428,-3.6480737999999997
330,-9.0613446,-2.1966896,-3.6480737999999997
340,-9.1397978,-2.3143694,-3.5696205999999995
350,-9.0613446,-2.157463,-3.6873004
360,-9.1005712,-2.1966896,-3.530394
370,-9.1397978,-2.2359162,-3.6480737999999997
380,-9.1397978,-2.157463,-3.726527
390,-9.1790244,-2.1966896,-3.5696205999999995
400,-9.0613446,-2.2359162,-3.726527
410,-9.1790244,-2.2359162,-3.6873004
420,-9.218251,-2.157463,-3.726527
430,-9.0613446,-2.1966896,-3.6088471999999996
440,-9.1790244,-2.2359162,-3.5696205999999995
450,-9.1790244,-2.1966896,-3.6480737999999997
460,-9.1397978,-2.1966896,-3.726527
470,-9.1790244,-2.157463,-3.6873004
480,-9.1005712,-2.2359162,-3.6873004
490,-9.1790244,-2.2751428,-3.6088471999999996
500,-9.1790244,-2.2359162,-3.6480737999999997
510,-9.1397978,-2.1966896,-3.6873004
520,-9.1005712,-2.1966896,-3.6873004
530,-9.1005712,-2.2751428,-3.6480737999999997
540,-9.1397978,-2.1966896,-3.5696205999999995
550,-9.1397978,-2.2751428,-3.6088471999999996
560,-9.1397978,-2.1966896,-3.6873004
570,-9.1397978,-2.1966896,-3.6480737999999997
580,-9.1397978,-2.1966896,-3.6088471999999996
590,-9.1790244,-2.1966896,-3.6480737999999997
600,-9.1005712,-2.2359162,-3.6873004
610,-9.1397978,-2.2359162,-3.6873004
620,-9.1005712,-2.2359162,-3.726527
630,-9.1790244,-2.2359162,-3.5696205999999995
640,-9.1005712,-2.2359162,-3.6088471999999996
650,-9.1005712,-2.2359162,-3.6088471999999996
660,-9.1397978,-2.1966896,-3.5696205999999995
670,-9.1397978,-2.2359162,-3.726527
680,-9.1005712,-2.2359162,-3.6088471999999996
690,-9.1397978,-2.2359162,-3.6480737999999997
700,-9.1397978,-2.1966896,-3.726527
710,-9.1397978,-2.2359162,-3.6873004
720,-9.1397978,-2.1966896,-3.6873004
730,-9.1397978,-2.2359162,-3.6480737999999997
740,-9.1790244,-2.2751428,-3.6480737999999997
750,-9.1005712,-2.2359162,-3.6873004
760,-9.1397978,-2.1966896,-3.6480737999999997
770,-9.1005712,-2.2751428,-3.6088471999999996
780,-9.1005712,-2.2751428,-3.6088471999999996
790,-9.1397978,-2.2359162,-3.6480737999999997
800,-9.1397978,-2.2751428,-3.6088471999999996
810,-9.1005712,-2.2359162,-3.6088471999999996
820,-9.1005712,-2.2359162,-3.6088471999999996
830,-9.218251,-2.2359162,-3.726527
840,-9.1397978,-2.2751428,-3.6480737999999997
850,-9.1397978,-2.2359162,-3.6873004
860,-9.1397978,-2.3143694,-3.6480737999999997
870,-9.1397978,-2.2359162,-3.6873004
880,-9.2967042,-2.157463,-3.6873004
890,-9.1397978,-2.2359162,-3.6480737999999997
900,-9.1005712,-2.1966896,-3.726527
910,-9.1005712,-2.2359162,-3.6480737999999997
920,-9.218251,-2.157463,-3.6873004
930,-9.218251,-2.1966896,-3.530394
940,-9.1397978,-2.1966896,-3.6480737999999997
950,-9.1397978,-2.2359162,-3.6480737999999997
960,-9.0613446,-2.1966896,-3.530394
970,-9.1005712,-2.2751428,-3.6480737999999997
980,-9.1005712,-2.2359162,-3.6873004
990,-9.1005712,-2.1966896,-3.7657536

