timestamp,accX,accY,accZ
0,-9.0613446,-2.2359162,-3.92266
10,-9.3751574,-2.157463,-3.0989014
20,-9.1397978,-2.2359162,-3.6873004
30,-9.0613446,-2.157463,-3.92266
40,-9.1397978,-2.1966896,-3.6873004
50,-9.3359308,-2.0790097999999997,-3.0596748
60,-9.1397978,-2.1966896,-3.9618866
70,-8.9828914,-2.2359162,-4.0795664
80,-8.9828914,-2.2359162,-4.0795664
90,-9.2967042,-2.157463,-3.2165812
100,-9.1005712,-2.1966896,-3.4127142
110,-9.1397978,-2.0790097999999997,-4.0011132
120,-9.2574776,-2.1182364,-3.9618866
130,-9.414383999999998,-2.157463,-2.7458620000000002
140,-9.0613446,-2.1182364,-3.6873004
150,-8.9828914,-2.1182364,-3.8834334
160,-9.2574776,-2.157463,-3.6480737999999997
170,-9.2967042,-2.3143694,-3.2558078
180,-9.0613446,-2.2359162,-3.92266
190,-9.0613446,-2.1966896,-3.9618866
200,-9.2967042,-2.1182364,-3.0204481999999997
210,-9.1790244,-2.2359162,-3.7657536
220,-9.0613446,-2.1966896,-3.9618866
230,-9.0613446,-2.1966896,-3.8049801999999997
240,-9.2574776,-2.2359162,-2.8635417999999997
250,-9.0613446,-2.1966896,-3.92266
260,-9.1005712,-2.1966896,-4.118792999999999
270,-9.1397978,-2.2751428,-3.3734876000000003
280,-9.218251,-2.1966896,-3.334261
290,-8.9828914,-2.3143694,-3.8442068
300,-8.9828914,-2.2359162,-3.9618866
310,-9.3751574,-2.1966896,-3.0596748
320,-9.1005712,-2.2359162,-3.6873004
330,-9.022118,-2.2751428,-3.8442068
340,-9.1005712,-2.2359162,-3.6088471999999996
350,-9.414383999999998,-2.1182364,-3.0596748
360,-9.1397978,-2.1182364,-4.0011132
370,-9.022118,-2.1966896,-4.0403398
380,-9.218251,-2.157463,-3.2950344
390,-9.1005712,-2.2359162,-3.3734876000000003
400,-9.1397978,-2.1182364,-4.0403398
410,-9.1005712,-2.2359162,-3.8834334
420,-9.2574776,-2.2359162,-2.9812215999999996
430,-9.0613446,-2.2359162,-3.6873004
440,-9.0613446,-2.1966896,-4.0795664
450,-9.2967042,-2.1966896,-3.530394
460,-9.1005712,-2.3143694,-3.334261
470,-9.0613446,-2.1966896,-3.9618866
480,-8.9436648,-2.2751428,-3.8834334
490,-9.2967042,-2.2359162,-3.0989014
500,-9.1790244,-2.2359162,-3.726527
510,-9.1790244,-2.1966896,-4.0403398
520,-9.1005712,-2.3143694,-3.726527
530,-9.2574776,-2.2359162,-2.7850886
540,-9.1005712,-2.1966896,-4.0011132
550,-9.0613446,-2.1966896,-4.0795664
560,-9.1790244,-2.2751428,-3.4911673999999997
570,-9.218251,-2.157463,-3.2950344
580,-9.218251,-2.157463,-3.2950344
590,-9.022118,-2.2359162,-3.8049801999999997
600,-9.1005712,-2.1182364,-4.0011132
610,-9.414383999999998,-2.157463,-2.9027684
620,-9.1005712,-2.1182364,-3.6480737999999997
630,-8.9828914,-2.0790097999999997,-3.8442068
640,-9.0613446,-2.157463,-3.726527
650,-9.414383999999998,-2.157463,-3.2165812
660,-8.9436648,-2.1966896,-3.8442068
670,-9.1397978,-2.1182364,-3.92266
680,-9.1397978,-2.2751428,-3.1773545999999997
690,-9.1790244,-2.2751428,-3.5696205999999995
700,-9.1005712,-2.2751428,-4.0795664
710,-9.1397978,-2.2359162,-3.7657536
720,-9.2574776,-2.2751428,-2.941995
730,-9.022118,-2.1966896,-3.726527
740,-9.1397978,-2.157463,-4.0795664
750,-9.2574776,-2.2359162,-3.4519407999999996
760,-9.1005712,-2.3143694,-3.334261
770,-9.022118,-2.1966896,-4.0011132
780,-9.022118,-2.3143694,-3.8834334
790,-9.3359308,-2.157463,-3.0596748
800,-9.1397978,-2.2751428,-3.7657536
810,-9.0613446,-2.157463,-4.0011132
820,-9.1005712,-2.1966896,-3.6873004
830,-9.3359308,-2.0397832,-2.9812215999999996
840,-9.1397978,-2.157463,-4.0403398
850,-8.9828914,-2.2751428,-4.0403398
860,-9.3359308,-2.157463,-3.3734876000000003
870,-9.1397978,-2.2359162,-3.2558078
880,-9.1005712,-2.1182364,-4.0011132
890,-9.0613446,-2.2359162,-4.0795664
900,-9.3359308,-2.2359162,-3.0204481999999997
910,-9.0613446,-2.2751428,-3.6480737999999997
920,-8.9828914,-2.1966896,-3.8834334
930,-9.218251,-2.1966896,-3.6480737999999997
940,-9.2574776,-2.3143694,-3.2558078
950,-9.022118,-2.2359162,-3.9618866
960,-9.0613446,-2.1966896,-3.9618866
970,-9.1397978,-2.2359162,-3.0204481999999997
980,-9.1397978,-2.2751428,-3.7657536
990,-9.022118,-2.2359162,-4.0011132

